Employee Number,Employee Name,Region,Organization Name,Original Date Of Hire,Job Title
24968,Ernest Morrison,Region 6,001 Store 15,04/12/1996,General Manager
603,Christopher Simmons,Region 2,007 Store 27,29/03/2004,Electrical Engineer
24373,Debra Mills,Region 4,009 Store 26,20/07/1997,Administrative Assistant IV
13004,Christine Willis,Region 8,008 Store 3,19/03/1996,Account Executive
20294,Theresa Patterson,Region 2,009 Store 14,18/05/1993,Environmental Specialist
12590,Cynthia Ryan,Region 2,010 Store 9,22/04/1999,Geological Engineer
12878,James Alexander,Region 4,001 Store 6,16/04/2009,Health Coach IV
10691,Rose Payne,Region 3,009 Store 25,18/04/1997,Civil Engineer
11101,Clarence Washington,Region 5,006 Store 8,20/07/2014,Financial Analyst
24735,Martin Ray,Region 6,003 Store 21,27/10/2005,Human Resources Assistant I
12112,Adam Alvarez,Region 10,004 Store 9,22/08/1999,Assistant Professor
23382,Jason Hayes,Region 2,001 Store 27,04/12/2001,Mechanical Systems Engineer
25572,Ryan Diaz,Region 9,002 Store 17,19/07/2004,Clinical Specialist
15567,Terry Griffin,Region 8,005 Store 13,23/02/2009,Product Engineer
8419,Phyllis Campbell,Region 6,003 Store 22,16/02/1997,Data Coordiator
17967,Emily Baker,Region 4,007 Store 28,09/08/2001,General Manager
8765,Keith Palmer,Region 1,004 Store 2,05/12/2002,Senior Quality Engineer
4465,Cheryl Nichols,Region 2,006 Store 14,09/03/1993,VP Product Management
276,Patrick Bishop,Region 5,008 Store 2,04/04/2011,Recruiting Manager
23301,Jennifer Taylor,Region 1,005 Store 14,15/03/2009,Clinical Specialist
2764,Shirley Simpson,Region 6,003 Store 6,14/09/2001,Systems Administrator IV
4933,Joseph Morrison,Region 10,006 Store 17,12/01/1997,Pharmacist
16044,Timothy Thomas,Region 2,001 Store 2,06/05/2014,Desktop Support Technician
21506,Kathleen White,Region 8,009 Store 18,24/07/1993,Help Desk Technician
21329,Denise Patterson,Region 2,003 Store 18,01/07/1997,Senior Developer
1312,Jeffrey Thomas,Region 1,009 Store 8,04/03/1992,Technical Writer
8505,Joshua Howell,Region 5,010 Store 5,09/07/2008,Editor
12633,Dorothy Willis,Region 5,007 Store 15,21/12/1992,Dental Hygienist
27167,Elizabeth Powell,Region 10,009 Store 16,26/12/2008,Senior Financial Analyst
19209,Denise Robertson,Region 2,002 Store 24,01/05/2010,Budget/Accounting Analyst III
1785,Victor Simpson,Region 7,008 Store 7,01/10/2003,Financial Advisor
24622,Teresa Morgan,Region 8,004 Store 18,08/06/2013,Senior Developer
23149,Peter Morris,Region 6,006 Store 10,28/08/2009,Registered Nurse
9012,Cynthia Hayes,Region 4,007 Store 2,25/01/2007,Automation Specialist I
4647,Louise Bennett,Region 8,010 Store 5,23/06/2012,Chemical Engineer
11479,Thomas Romero,Region 6,003 Store 6,11/06/2000,Community Outreach Specialist
27377,Martha Long,Region 3,001 Store 11,28/05/2004,Senior Quality Engineer
26532,Ryan Green,Region 8,009 Store 27,18/09/2014,Librarian
8245,Ashley Thomas,Region 6,001 Store 5,07/11/1990,Human Resources Manager
4519,Martha Cooper,Region 4,003 Store 16,22/01/2004,Marketing Assistant
5932,Jonathan Greene,Region 6,002 Store 26,21/11/1999,Director of Sales
18847,Elizabeth Wheeler,Region 10,001 Store 1,27/04/2003,Business Systems Development Analyst
4817,Jessica Barnes,Region 5,005 Store 13,30/10/1990,Recruiter
3540,Melissa Little,Region 8,010 Store 14,15/05/2003,Teacher
10224,Lois Larson,Region 2,002 Store 8,19/06/2008,Accountant IV
10392,Lois Washington,Region 1,006 Store 19,10/03/2001,Administrative Officer
16844,Scott Mitchell,Region 6,002 Store 24,25/04/2004,Compensation Analyst
13973,Susan Wells,Region 10,002 Store 22,11/12/2003,Director of Sales
26393,Angela Rose,Region 4,002 Store 25,30/03/2006,Analyst Programmer
17712,Harold Kim,Region 9,006 Store 27,01/04/1991,Quality Control Specialist
3647,Andrea Russell,Region 1,006 Store 19,07/05/2000,Electrical Engineer
3656,Frank Larson,Region 9,001 Store 10,09/11/2014,Systems Administrator I
1795,Roy Rogers,Region 8,006 Store 19,12/07/2009,Financial Advisor
20596,Kimberly Hamilton,Region 5,006 Store 20,28/05/2009,Developer I
22910,Mildred Reed,Region 7,006 Store 15,20/03/2001,Occupational Therapist
4413,Jimmy Sims,Region 10,008 Store 28,24/08/2003,Geological Engineer
20588,Angela Rose,Region 3,005 Store 14,08/07/1993,Analyst Programmer
11115,Mildred Reed,Region 3,009 Store 26,09/02/2005,Systems Administrator IV
15713,Mildred Robinson,Region 1,001 Store 26,06/06/2005,VP Product Management
19082,Randy Day,Region 3,007 Store 3,24/03/2003,Nurse
6399,Nancy Mcdonald,Region 5,007 Store 10,02/10/1998,Web Developer IV
5633,Steven Kim,Region 2,005 Store 18,29/06/2007,Analog Circuit Design manager
5276,Amanda Fisher,Region 9,001 Store 23,21/05/2013,Financial Advisor
13833,Andrew Mitchell,Region 9,004 Store 3,09/08/2005,Research Assistant I
20600,Martin Hansen,Region 4,002 Store 2,19/06/1994,Product Engineer
20818,Karen Vasquez,Region 7,007 Store 17,28/09/1991,Developer IV
27170,Laura Williamson,Region 2,005 Store 13,26/08/2007,VP Marketing
1932,Patrick Elliott,Region 9,001 Store 5,10/06/2013,Technical Writer
7547,Susan Brooks,Region 4,009 Store 22,09/05/2001,Sales Associate
13868,Lillian Kelly,Region 2,005 Store 4,23/08/2009,Analyst Programmer
13334,Jimmy Wheeler,Region 6,008 Store 1,22/05/2002,Software Engineer I
16168,Louis Dunn,Region 2,006 Store 15,05/10/1995,Payment Adjustment Coordinator
15199,Paul Oliver,Region 8,001 Store 4,25/07/1993,General Manager
3883,Jimmy Wilson,Region 3,001 Store 8,24/02/2013,Financial Advisor
10368,Joseph Wright,Region 6,002 Store 18,14/08/1999,VP Sales
14375,Martin Gomez,Region 9,004 Store 4,26/09/1999,Assistant Professor
8086,Alice Schmidt,Region 6,005 Store 15,23/12/1999,Junior Executive
21255,Gregory Martinez,Region 9,009 Store 1,05/03/2014,Account Representative I
27468,Keith Smith,Region 9,001 Store 4,15/09/2004,Nurse
10536,Billy Cox,Region 8,001 Store 25,20/01/2015,Graphic Designer
8070,Judy Peterson,Region 2,001 Store 15,23/08/2004,Senior Developer
947,Michelle West,Region 8,005 Store 13,21/04/2004,Accountant IV
15995,Carl Richards,Region 7,009 Store 6,25/05/2007,Human Resources Manager
15059,Nancy Burns,Region 8,009 Store 10,28/12/2013,Desktop Support Technician
959,Donald White,Region 7,007 Store 11,18/08/1999,Actuary
5309,Kathleen Allen,Region 9,005 Store 19,21/05/1990,Web Designer III
26136,Thomas Burton,Region 9,003 Store 6,11/08/2011,Project Manager
8719,Melissa Thomas,Region 9,004 Store 3,22/11/1990,Sales Representative
21407,Harry Berry,Region 3,010 Store 27,15/06/2014,Design Engineer
6377,Melissa Taylor,Region 7,010 Store 1,28/10/2014,Environmental Tech
4587,Harold Johnson,Region 8,002 Store 7,04/09/2012,Structural Engineer
23406,Brandon Wagner,Region 7,004 Store 26,30/01/2005,Staff Accountant II
26009,Eugene Perez,Region 5,008 Store 18,08/11/2000,Research Assistant I
27430,Diane Dean,Region 5,007 Store 21,31/08/1996,Assistant Manager
23770,Mary Grant,Region 1,009 Store 19,21/09/2000,Paralegal
23217,Justin Schmidt,Region 3,006 Store 24,24/02/2012,VP Marketing
22540,Alan Sanders,Region 1,004 Store 23,01/11/2014,Chemical Engineer
3006,Nancy Kim,Region 5,009 Store 23,06/01/1993,Database Administrator II
21337,Ruth Austin,Region 1,005 Store 10,07/08/2010,Web Developer III
14853,Steven Fox,Region 6,008 Store 22,20/10/1992,Design Engineer
11928,Sean Medina,Region 6,006 Store 24,07/10/2011,Staff Scientist
11634,Mildred Banks,Region 9,008 Store 5,03/02/2000,Associate Professor
26678,Daniel Oliver,Region 8,004 Store 5,30/01/2007,Recruiting Manager
12090,Judy Riley,Region 4,010 Store 8,25/05/1990,Director of Sales
22246,Donna Perkins,Region 1,005 Store 28,08/06/1996,Nurse Practicioner
25769,Cheryl Hall,Region 10,004 Store 20,15/07/2012,Business Systems Development Analyst
11244,George Morrison,Region 6,004 Store 23,02/12/1997,Business Systems Development Analyst
833,Keith Rogers,Region 4,003 Store 8,17/10/2006,Geological Engineer
13738,Anne Washington,Region 4,005 Store 3,01/06/2008,Engineer IV
5022,Sharon Austin,Region 6,001 Store 28,21/09/1991,Assistant Media Planner
14134,Kelly Daniels,Region 3,007 Store 5,06/07/1997,Design Engineer
9808,Sandra Montgomery,Region 7,002 Store 14,03/10/1992,Registered Nurse
3777,Louis Miller,Region 2,008 Store 6,13/09/1992,Senior Sales Associate
3647,Amanda Rogers,Region 2,009 Store 26,10/12/1990,Quality Control Specialist
15481,Jack Bell,Region 7,009 Store 23,06/08/2011,Operator
24315,Kathryn Bennett,Region 5,005 Store 27,17/06/1999,Nurse
23399,Angela Marshall,Region 5,001 Store 23,31/03/2010,Administrative Assistant I
8019,Melissa Wood,Region 8,001 Store 19,01/03/2012,Recruiting Manager
1443,Randy Olson,Region 4,004 Store 23,05/12/1999,Programmer IV
6604,Virginia Perez,Region 6,005 Store 3,11/07/2000,Budget/Accounting Analyst IV
16056,Edward Burton,Region 5,003 Store 1,07/10/2002,Chief Design Engineer
19463,Elizabeth Nguyen,Region 3,010 Store 6,31/03/1992,Biostatistician II
2629,Jason Diaz,Region 7,006 Store 2,08/05/2006,Teacher
3611,Antonio Coleman,Region 4,008 Store 16,15/02/1997,Assistant Manager
18580,Rachel Boyd,Region 7,008 Store 25,08/12/2001,Junior Executive
13545,Emily Evans,Region 10,001 Store 19,07/08/1992,Research Assistant IV
23537,Kenneth Hunt,Region 9,010 Store 13,06/12/1990,Recruiter
13166,Amy Jones,Region 7,004 Store 22,11/08/2001,Health Coach III
12861,Harry Wallace,Region 8,006 Store 17,30/08/2010,Actuary
20951,Gary Taylor,Region 7,007 Store 15,02/08/1993,Web Developer II
24006,Donna Sanders,Region 9,002 Store 28,09/06/1997,Analyst Programmer
3011,Joshua Howell,Region 5,005 Store 11,21/06/1991,Sales Associate
14818,Randy Murray,Region 8,009 Store 24,19/02/2015,Financial Advisor
1224,Gregory Montgomery,Region 4,003 Store 10,25/06/1993,Senior Quality Engineer
27180,Kathleen Simmons,Region 4,008 Store 19,04/07/2010,VP Product Management
26828,Peter Larson,Region 7,005 Store 13,14/05/1992,Help Desk Operator
11638,Sharon Welch,Region 4,010 Store 11,14/03/1996,Payment Adjustment Coordinator
20362,Jonathan Hart,Region 9,005 Store 14,08/08/1992,Physical Therapy Assistant
16096,Aaron Boyd,Region 9,002 Store 5,29/12/2014,Chemical Engineer
20332,Lori Ortiz,Region 4,009 Store 8,24/08/2001,VP Marketing
8868,Thomas Reynolds,Region 8,006 Store 18,12/01/2002,Automation Specialist II
25285,Emily Myers,Region 8,009 Store 2,30/04/1992,Pharmacist
6191,Martha Ramirez,Region 6,008 Store 18,13/01/2002,Senior Quality Engineer
21294,Frank Scott,Region 2,008 Store 27,27/07/2001,Biostatistician IV
26981,Michael Jackson,Region 5,005 Store 21,06/08/1997,Help Desk Technician
6770,Ryan Romero,Region 8,006 Store 3,23/02/1991,Payment Adjustment Coordinator
6830,Phyllis Cook,Region 8,006 Store 14,13/05/2013,Nuclear Power Engineer
19052,Jessica Perry,Region 7,001 Store 8,14/08/1998,Cost Accountant
14287,Gregory Little,Region 2,002 Store 16,15/07/1992,VP Sales
6336,Jeffrey Ray,Region 8,008 Store 23,17/01/1993,Graphic Designer
16696,Debra Larson,Region 7,004 Store 28,26/05/2012,Account Representative III
7582,Gregory Rodriguez,Region 1,007 Store 2,10/10/2008,Junior Executive
23800,Laura Murphy,Region 1,001 Store 5,04/07/2005,Financial Analyst
20736,Gregory Gonzalez,Region 3,010 Store 7,23/10/2006,Analog Circuit Design manager
2740,Karen Rodriguez,Region 6,006 Store 14,21/07/1991,Marketing Manager
21722,Maria Montgomery,Region 10,009 Store 14,20/03/1994,Nuclear Power Engineer
478,Johnny Martinez,Region 1,008 Store 23,22/11/1994,Chief Design Engineer
26826,Carlos Williams,Region 4,001 Store 23,04/07/1993,Recruiter
160,Carl Sanders,Region 4,006 Store 2,11/11/2013,Programmer III
22135,Tina Perry,Region 10,004 Store 11,10/08/2007,Food Chemist
9917,Nancy Hall,Region 7,001 Store 2,24/08/2005,Assistant Manager
13305,Jeremy Bishop,Region 2,008 Store 27,06/05/2003,Registered Nurse
6665,Martin Jackson,Region 4,008 Store 14,12/04/2007,Occupational Therapist
11837,Jack Woods,Region 1,010 Store 21,06/04/2005,GIS Technical Architect
18120,Jean Chavez,Region 8,006 Store 9,11/02/1999,Marketing Assistant
5715,Steve Wallace,Region 5,001 Store 27,09/10/2012,Human Resources Manager
23082,Maria Perkins,Region 1,007 Store 25,07/08/1993,Assistant Manager
22667,Stephanie Robinson,Region 2,010 Store 6,09/11/2002,Safety Technician III
11425,Ann Hamilton,Region 2,001 Store 7,09/12/2011,Civil Engineer
25259,Catherine Dean,Region 6,004 Store 28,26/02/1998,Structural Engineer
12836,Sandra Mills,Region 8,005 Store 11,31/08/1990,Physical Therapy Assistant
25581,Rose Hunter,Region 8,005 Store 15,18/01/2006,Account Representative III
12661,Mildred Austin,Region 7,001 Store 14,11/08/1999,Systems Administrator II
22452,Jacqueline Rivera,Region 7,002 Store 25,02/05/1992,VP Accounting
3886,George Green,Region 7,007 Store 6,31/07/2005,Human Resources Assistant III
24725,Keith Duncan,Region 5,010 Store 8,25/11/2013,Environmental Specialist
4037,Joyce Simpson,Region 6,004 Store 12,04/11/2001,Web Designer IV
3819,Rebecca Butler,Region 10,004 Store 4,03/09/1993,Engineer IV
6793,Lawrence Harvey,Region 8,008 Store 19,19/11/2002,Social Worker
11861,Adam Ortiz,Region 9,004 Store 1,17/07/2005,Librarian
1298,Barbara Gomez,Region 5,003 Store 19,17/03/2006,Financial Advisor
9849,Edward Bell,Region 6,008 Store 13,05/02/2015,Information Systems Manager
23533,Jessica James,Region 10,008 Store 21,18/12/1997,Chief Design Engineer
13304,Barbara Romero,Region 9,006 Store 11,09/03/1992,Analyst Programmer
18448,Harry Morrison,Region 8,005 Store 3,14/04/1998,Web Designer II
22248,Craig Fernandez,Region 2,004 Store 10,13/12/1998,Staff Accountant III
26858,Antonio Gonzales,Region 1,005 Store 9,24/11/2001,Senior Editor
22490,Roy Brown,Region 5,008 Store 21,27/09/2001,Recruiter
23716,Terry Harvey,Region 6,001 Store 1,12/10/1997,Analog Circuit Design manager
11037,Jennifer Kim,Region 1,006 Store 1,15/11/2011,Registered Nurse
1946,Ronald Cox,Region 9,001 Store 10,13/12/2010,Product Engineer
22015,Benjamin Cunningham,Region 1,004 Store 2,15/12/2006,Engineer IV
6778,Christine Graham,Region 5,004 Store 5,31/01/1999,Chemical Engineer
22399,Steven Lawson,Region 1,001 Store 27,05/07/2011,Senior Sales Associate
13414,Robin Cunningham,Region 7,009 Store 23,08/12/1995,Speech Pathologist
22788,Tammy Rice,Region 7,010 Store 24,15/05/2010,Database Administrator IV
6631,Irene Foster,Region 10,007 Store 9,09/03/1996,Environmental Specialist
24430,Frances Lane,Region 6,002 Store 2,16/01/2012,Junior Executive
19976,James Carroll,Region 10,007 Store 17,20/02/2011,Dental Hygienist
4598,Jean Meyer,Region 4,010 Store 6,17/10/2010,Legal Assistant
13422,Russell Reynolds,Region 5,006 Store 23,09/01/1999,VP Accounting
19283,Donald Sims,Region 8,001 Store 21,21/07/1994,Civil Engineer
24054,Clarence Russell,Region 4,002 Store 12,31/03/2007,Technical Writer
9680,Kathy Morgan,Region 10,001 Store 12,25/04/2001,Paralegal
11782,Marilyn Fields,Region 2,006 Store 22,01/06/1995,Help Desk Technician
7466,Patrick Foster,Region 1,002 Store 9,18/03/2008,Internal Auditor
17419,Matthew Hawkins,Region 8,007 Store 24,03/05/1996,Legal Assistant
1606,Paula Scott,Region 2,003 Store 22,04/01/1997,Biostatistician II
26655,Susan Phillips,Region 6,004 Store 10,23/04/2002,Executive Secretary
10731,Benjamin Powell,Region 4,008 Store 16,12/09/2013,Research Nurse
4757,Denise Hamilton,Region 10,005 Store 25,27/04/2009,Pharmacist
13353,Willie Fisher,Region 10,006 Store 16,12/05/2000,Dental Hygienist
330,Harry Turner,Region 9,002 Store 19,19/08/2001,Junior Executive
5758,Lisa Moore,Region 7,010 Store 6,24/08/2006,Budget/Accounting Analyst I
10507,Gary Wilson,Region 3,009 Store 7,01/03/2007,Librarian
24502,Evelyn Ross,Region 4,008 Store 1,05/10/2003,Legal Assistant
26972,Anne Ramirez,Region 8,007 Store 24,05/07/1995,Recruiter
15885,Gary Vasquez,Region 7,002 Store 26,15/02/2010,Food Chemist
11249,Betty Hanson,Region 1,002 Store 28,16/05/2001,Financial Advisor
12069,Christina Cox,Region 1,001 Store 4,16/10/1996,VP Product Management
93,Walter Porter,Region 3,002 Store 17,06/04/2006,VP Accounting
21579,Kathryn Schmidt,Region 9,005 Store 17,01/12/2002,Data Coordiator
8027,Michael Russell,Region 8,006 Store 9,11/05/2009,Electrical Engineer
15240,Adam Roberts,Region 8,007 Store 13,10/10/1990,Registered Nurse
9712,Jack Myers,Region 10,004 Store 18,01/08/1995,Operator
20983,Jose Edwards,Region 7,006 Store 16,29/07/2008,Director of Sales
11196,Louise Kennedy,Region 1,010 Store 26,13/09/2003,Paralegal
23854,Matthew Cunningham,Region 3,008 Store 13,07/11/2002,Assistant Professor
9757,Janet Adams,Region 1,007 Store 5,04/08/2004,VP Product Management
14076,Christina Woods,Region 6,004 Store 17,19/08/1998,Nurse
1162,Jason Little,Region 1,009 Store 28,03/05/1990,Accounting Assistant III
20231,Martin Montgomery,Region 10,003 Store 28,21/11/1995,Civil Engineer
11702,Paul Griffin,Region 9,003 Store 17,25/05/2010,Internal Auditor
23699,Shawn Meyer,Region 8,006 Store 22,12/07/2011,Sales Representative
952,Christopher Williams,Region 4,009 Store 13,28/11/2003,Product Engineer
382,Judy Fowler,Region 9,003 Store 25,07/10/2000,Senior Developer
20469,Margaret Day,Region 1,006 Store 24,08/07/1992,Quality Engineer
13590,Christopher Reyes,Region 1,003 Store 14,03/01/2006,Civil Engineer
23650,Nicole Hayes,Region 7,007 Store 20,16/02/2001,Senior Cost Accountant
1986,Terry Wells,Region 1,003 Store 26,24/10/1996,Junior Executive
15357,Daniel Knight,Region 6,009 Store 19,20/06/2003,Senior Cost Accountant
1386,Kathy Foster,Region 9,007 Store 22,21/04/1999,Structural Engineer
21791,Henry Williamson,Region 5,008 Store 13,09/02/1994,Assistant Media Planner
21225,Joshua Porter,Region 5,007 Store 12,13/12/1996,Speech Pathologist
20091,Evelyn Rogers,Region 8,001 Store 18,12/05/2014,Staff Accountant II
10004,Tammy Sims,Region 4,001 Store 14,29/09/2003,Staff Accountant IV
12634,Robin Scott,Region 10,005 Store 25,27/10/2000,Safety Technician I
10879,Sean Ramirez,Region 1,007 Store 27,25/04/1999,Office Assistant I
22403,Donald Mccoy,Region 8,003 Store 26,26/05/2013,Account Executive
5314,Kevin Phillips,Region 2,004 Store 22,08/08/1995,Automation Specialist III
15831,Catherine Spencer,Region 2,003 Store 13,22/05/2006,Quality Engineer
10196,Frank Collins,Region 9,005 Store 23,14/01/1996,Analyst Programmer
19777,Virginia Watkins,Region 1,007 Store 17,31/08/2011,Data Coordiator
8036,Kenneth Long,Region 8,002 Store 7,14/08/2011,Sales Associate
21854,Phillip Brown,Region 3,003 Store 26,05/09/2007,Account Representative IV
19480,George Wilson,Region 10,003 Store 25,24/06/1991,Help Desk Technician
15947,Arthur Peters,Region 1,010 Store 3,28/10/2007,Associate Professor
13489,Johnny Gardner,Region 1,010 Store 26,11/08/2002,Software Engineer I
8652,Carl Castillo,Region 8,003 Store 19,14/10/2011,Pharmacist
13833,Heather Franklin,Region 4,007 Store 12,03/02/1999,Senior Sales Associate
10604,Charles Barnes,Region 8,006 Store 3,24/07/2013,Electrical Engineer
27136,Henry Lopez,Region 2,004 Store 13,03/06/1996,Marketing Assistant
6173,Bobby Austin,Region 1,009 Store 21,26/04/2007,Nurse
19223,Teresa Harrison,Region 10,001 Store 14,17/02/2007,Database Administrator IV
14235,Anna Woods,Region 1,003 Store 14,12/11/2002,Actuary
10940,Robin Medina,Region 6,009 Store 7,19/03/1995,Staff Scientist
12255,Kathryn Richardson,Region 2,004 Store 9,09/05/1999,Editor
21892,Lori Fernandez,Region 2,009 Store 26,07/02/2003,Accounting Assistant IV
9267,Carl Rodriguez,Region 7,008 Store 28,11/09/1996,Project Manager
22895,Sean Price,Region 5,003 Store 20,22/10/2011,Staff Accountant I
2672,Richard Brooks,Region 4,006 Store 20,05/12/2010,Structural Analysis Engineer
11916,Stephen Williamson,Region 2,006 Store 19,16/07/1993,Legal Assistant
8326,Harry Frazier,Region 9,007 Store 12,04/10/2010,Systems Administrator II
16492,Andrea Boyd,Region 1,006 Store 17,09/11/1990,Senior Sales Associate
5397,Cheryl Wilson,Region 8,003 Store 2,20/12/2012,Assistant Professor
26904,Victor Griffin,Region 7,005 Store 8,04/12/2006,Cost Accountant
10996,Jonathan Gordon,Region 7,008 Store 5,27/11/2011,VP Product Management
8672,Virginia Marshall,Region 8,001 Store 24,22/12/2012,Civil Engineer
24598,Louis Murray,Region 3,009 Store 16,13/02/1998,Chemical Engineer
14642,Brandon Powell,Region 3,008 Store 17,14/10/1997,Associate Professor
13397,Johnny Holmes,Region 7,001 Store 12,28/11/2005,Environmental Specialist
13213,Paul Hughes,Region 9,009 Store 18,31/07/1991,Pharmacist
8320,Joe Wallace,Region 4,008 Store 2,27/05/1993,Associate Professor
6699,Angela Watkins,Region 5,003 Store 23,24/12/1993,Account Representative IV
23210,Sandra Ortiz,Region 10,005 Store 21,23/06/2013,Physical Therapy Assistant
25154,Eugene Richardson,Region 9,002 Store 23,28/11/1995,Senior Quality Engineer
10870,Samuel Simmons,Region 10,002 Store 24,05/03/2000,Recruiter
6231,George Lawrence,Region 4,007 Store 5,19/02/2000,Computer Systems Analyst II
19770,Roger Lee,Region 3,005 Store 17,17/02/2007,Professor
19856,Kelly Rodriguez,Region 9,002 Store 24,11/01/2007,Civil Engineer
10061,Patricia Day,Region 2,004 Store 25,19/12/2005,Biostatistician IV
3208,Rachel Washington,Region 5,004 Store 15,23/05/2010,Junior Executive
10776,Raymond Nguyen,Region 10,009 Store 2,26/05/1999,Executive Secretary
27405,Frances Rodriguez,Region 10,005 Store 15,28/12/2009,Programmer Analyst II
7416,Jimmy Cox,Region 10,002 Store 2,13/05/2000,Office Assistant II
12064,Dorothy Phillips,Region 1,006 Store 4,11/02/1999,Media Manager II
9860,Cheryl Cox,Region 1,005 Store 18,09/05/2005,Administrative Assistant III
13723,Justin Price,Region 5,008 Store 4,25/03/1994,Office Assistant IV
25226,Margaret Cruz,Region 10,001 Store 1,01/09/1993,Geologist III
4057,Cheryl Gutierrez,Region 2,008 Store 17,10/02/2009,Health Coach IV
4170,Harold Porter,Region 7,004 Store 21,02/01/2004,Research Nurse
3732,Shirley Mason,Region 5,008 Store 15,19/03/1999,Data Coordiator
2902,Sarah Hicks,Region 6,005 Store 23,14/05/1995,Paralegal
14432,Douglas Johnston,Region 5,010 Store 25,08/12/2009,Systems Administrator II
14491,Beverly Wells,Region 10,002 Store 10,02/10/2005,Developer IV
24702,Brandon Cox,Region 8,009 Store 11,27/09/2012,Electrical Engineer
9686,Joyce Frazier,Region 3,002 Store 5,23/07/2005,Occupational Therapist
24618,Richard Burns,Region 7,007 Store 26,01/01/1997,Electrical Engineer
24366,Angela Gomez,Region 2,003 Store 7,23/04/1998,Senior Cost Accountant
23643,Dorothy Phillips,Region 10,003 Store 2,24/02/1996,Marketing Assistant
9635,Daniel Montgomery,Region 6,008 Store 13,29/09/1991,Financial Advisor
13720,Jeremy Elliott,Region 3,005 Store 9,11/03/2010,Web Developer I
27506,Arthur Myers,Region 2,006 Store 27,22/11/2008,VP Sales
9130,Bobby Arnold,Region 3,010 Store 4,12/04/2011,Junior Executive
23565,Judith Anderson,Region 6,004 Store 10,25/01/1994,Automation Specialist I
8828,Virginia Perkins,Region 5,004 Store 11,04/08/2005,Web Designer I
25175,David Green,Region 8,006 Store 12,16/10/1999,Geologist III
18159,Richard Parker,Region 4,007 Store 10,05/02/2010,Data Coordiator
1275,Willie Jenkins,Region 9,003 Store 23,23/10/2005,Data Coordiator
18134,Lori Fields,Region 4,006 Store 1,04/12/1993,Research Nurse
5407,Kenneth James,Region 6,009 Store 17,15/03/2008,Clinical Specialist
19939,Willie Griffin,Region 7,007 Store 21,09/04/2011,Structural Engineer
15335,James Black,Region 8,005 Store 18,27/07/1998,Programmer Analyst I
25458,Christina Williams,Region 4,006 Store 18,19/03/1998,Marketing Assistant
23864,George Lopez,Region 2,007 Store 16,23/12/2001,Quality Control Specialist
12912,Steve Andrews,Region 6,010 Store 8,18/09/1990,Web Developer II
11780,Janice Sullivan,Region 7,003 Store 4,16/04/2005,Human Resources Assistant I
1701,Willie Grant,Region 5,006 Store 17,22/11/2006,Nuclear Power Engineer
8291,Steve Gibson,Region 8,002 Store 15,03/05/2014,Software Test Engineer III
17878,Shirley Barnes,Region 6,002 Store 10,22/04/1992,Marketing Manager
4767,Doris Cunningham,Region 1,010 Store 5,13/04/2005,Research Assistant III
21959,Tina Griffin,Region 3,003 Store 3,13/02/1996,Associate Professor
23050,Jennifer Crawford,Region 2,007 Store 25,26/07/1991,Assistant Media Planner
17906,Roy Medina,Region 8,007 Store 25,18/07/1993,Registered Nurse
17662,Kathy Edwards,Region 7,010 Store 22,12/12/2003,Chief Design Engineer
15775,Pamela Cruz,Region 8,003 Store 2,15/10/2002,Senior Financial Analyst
20552,Alice Turner,Region 8,007 Store 12,20/03/1998,Staff Accountant III
9733,Chris Gordon,Region 2,009 Store 16,25/03/2012,Technical Writer
15618,Rose Bailey,Region 1,002 Store 7,04/06/1997,Research Nurse
26500,Sharon Ramos,Region 10,007 Store 26,06/04/2004,Actuary
24785,Robin Reynolds,Region 3,008 Store 22,14/05/2003,Nuclear Power Engineer
3474,Nancy Adams,Region 3,007 Store 4,19/09/2006,Analog Circuit Design manager
3799,Kimberly Young,Region 3,004 Store 5,29/08/1998,Project Manager
26219,Paul Watson,Region 4,010 Store 8,04/12/2014,Health Coach II
14177,Eric Taylor,Region 1,006 Store 24,01/10/2005,Marketing Manager
10489,Marie Russell,Region 8,008 Store 1,19/10/1999,Electrical Engineer
7309,Bobby Watkins,Region 3,010 Store 19,27/02/2005,Health Coach III
7844,Craig Gilbert,Region 10,001 Store 24,16/09/2009,Developer IV
10042,Kevin Marshall,Region 9,007 Store 5,01/11/1992,Graphic Designer
25420,John Elliott,Region 2,001 Store 28,11/07/2006,Cost Accountant
9636,Ralph Hansen,Region 10,008 Store 4,22/01/2002,Administrative Officer
15703,William Fowler,Region 9,006 Store 14,29/03/2005,Clinical Specialist
26873,Tammy Daniels,Region 3,004 Store 2,06/08/1992,Electrical Engineer
862,Emily Wood,Region 4,003 Store 1,14/04/2003,Legal Assistant
5684,Louise Bailey,Region 8,009 Store 15,05/09/1995,VP Accounting
1691,Doris Simpson,Region 2,005 Store 23,07/01/1994,Senior Sales Associate
23928,Irene Austin,Region 9,004 Store 17,28/08/1996,Human Resources Manager
19155,Joyce Gutierrez,Region 7,006 Store 6,12/08/1995,Web Designer I
17677,Barbara Gonzalez,Region 4,006 Store 26,18/07/2007,Marketing Assistant
906,Clarence Daniels,Region 5,008 Store 21,09/05/2001,VP Product Management
11224,Denise Martin,Region 5,008 Store 10,19/12/1994,Senior Editor
12647,Ann Mcdonald,Region 9,001 Store 1,17/09/2004,Web Designer III
25707,Harold Payne,Region 5,010 Store 1,15/01/2006,Health Coach IV
